used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,Gd3Fe5O12,tick-pos,diff/sigma,Axis-limits
1,20,21433.3,20665.888232689038,20594.222626432464,-1276.788233,29.75800246690098,20.100614913145648,Gd2Zr2O7,166.11231140406178,17
1,20.01,20716.7,20675.484933353597,20591.18782272526,-2002.984933,34.49529818629644,26.69526894840434,-10221,166.1324772583615,83
1,20.02,21006.7,20687.767605015877,20588.152809446547,-1725.267605,49.583037085891725,28.576273680120835,Gd3Fe5O12,166.19265928433782,-26574.6
1,20.03,21006.7,20703.08540173187,20585.11758903726,-1740.585402,58.90391412,32.03476443787692,-20442,168.29527622604266,108342.6
1,20.04,20853.3,20721.665848793946,20582.08216393601,-1912.565849,61.80213016816644,33.64368670023077, ,167.38189866290801, 
1,20.05,21023.3,20743.470431658658,20579.046536579015,-1764.370432,72.7410552,35.18739515534611, ,169.27285665457413, 
1,20.06,21030,20767.95898209778,20576.010709400154,-1782.158982, ,36.674232443270284, ,167.74981371077584, 
1,20.07,21113.3,20793.774948496553,20572.974684830937,-1724.674948, ,39.5031498, ,167.58072681546648, 
1,20.08,21106.7,20818.50162151786,20569.93846530052,-1756.001622, ,40.85545660047977, ,167.86899654194636, 
1,20.09,21120,20838.847251730658,20566.902053235717,-1763.047252, ,44.70971653995126, ,167.49119379836063, 
1,20.1,21116.7,20851.60121684594,20563.86545106096,-1779.101217, ,44.70971653995126, ,166.84333969325837, 
1,20.11,21343.3,20855.03099446612,20560.828661198342,-1555.930994, ,45.93668798025932, ,168.27566669010704, 
1,20.12,21250,20849.54619010004,20557.79168606761,-1643.74619, ,47.138736209544035, ,168.0675459450753, 
1,20.13,21573.3,20836.902566384033,20554.75452808614,-1307.802566, ,49.47568098015242, ,168.35468511449272, 
1,20.14,20823.3,20818.80904144358,20551.717189668976,-2039.709041, ,50.61387376, ,168.56245133480942, 
1,20.15,21253.3,20796.334373817233,20548.67967,-1587.234374, ,51.73379591106083, ,169.68588627225307, 
1,20.16,21256.7,20770.370823624373,20545.64198117593,-1557.870824, ,52.836708644789866, ,169.97058569058353, 
1,20.17,21023.3,20742.24419128159,20542.60411591837,-1763.144191, ,53.923755432481606, ,169.2040188648012, 
1,20.18,21190,20713.681728369815,20539.566079861743,-1567.881728, ,53.923755432481606, ,170.5189139069329, 
1,20.19,20810,20686.297962174627,20536.527875409338,-1920.497962, ,53.923755432481606, ,169.75482320099184, 
1,20.2,21173.3,20661.187667379963,20533.489504962105,-1532.087667, ,54.995977335500626, ,169.15466295671544, 
1,20.21,20730,20638.861565735875,20530.450970918624,-1953.061566, ,58.13282493635025, ,171.38640552855995, 
1,20.22,20920,20619.392669129593,20527.41227567516,-1743.592669, ,58.13282493635025, ,169.10558831688562, 
1,20.23,20536.7,20602.597050530283,20524.373421625613,-2110.097051, ,59.154520977665484, ,170.84115429251815, 
1,20.24,20990,20588.169612831032,20521.334411161548,-1642.369613, ,60.16544944925657, ,171.67789607284917, 
1,20.25,20926.7,20575.76704904839,20518.29524667218,-1693.267049, ,61.16624904977584, ,170.34288949058015, 
1,20.26,20876.7,20565.053097916352,20515.255930544394,-1732.553098, ,62.157514897300906, ,170.0097056052977, 
1,20.27,20870,20555.721304307375,20512.216465162728,-1729.921304, ,63.139803010758264, ,170.30355251726255, 
1,20.28,20976.7,20547.505055704616,20509.17685290938,-1615.005056, ,63.139803010758264, ,170.13729749822642, 
1,20.29,20860,20540.18031160293,20506.137096164206,-1724.380312, ,64.11363423888471, ,169.9902938405602, 
1,20.3,21016.7,20533.564024239095,20503.097197304727,-1561.064024, ,64.11363423888471, ,171.8525530796677, 
1,20.31,21033.3,20527.51008640731,20500.057158706135,-1538.410086, ,66.03785393284087, ,170.27419064555852, 
1,20.32,21050,20521.90399092025,20497.016982741272,-1516.103991, ,66.98913741911406, ,171.1043541234413, 
1,20.33,20330,20516.657127584524,20493.976671780652,-2230.857128, ,68.87210886737279, ,169.4402549573153, 
1,20.34,20796.7,20511.701410270336,20490.93622819245,-1759.20141, ,69.80455665715132, ,170.7629936490925, 
1,20.35,21033.3,20506.984519902056,20487.89565434251,-1517.88452, ,69.80455665715132, ,171.79435380710274, 
1,20.36,21040,20502.46602545873,20484.854952594345,-1506.666025, ,69.80455665715132, ,172.43346542942294, 
1,20.37,20423.3,20498.114325499526,20481.81412530913,-2119.014325, ,70.73145505, ,171.74603343308982, 
1,20.38,20253.3,20493.90437745779,20478.77317484572,-2284.804377, ,71.65314039282485, ,171.3280479080994, 
1,20.39,20600,20489.81601303866,20475.732103560622,-1934.016013, ,71.65314039282485, ,171.6682847820179, 
1,20.4,20626.7,20485.83273316962,20472.690913808023,-1903.332733, ,73.48214511355819, ,172.1531295097478, 
1,20.41,20996.7,20481.940877394896,20469.64960793979,-1529.440877, ,73.48214511355819, ,171.20163550620654, 
1,20.42,20880,20478.128991108788,20466.60818830545,-1642.328991, ,74.39006868417393, ,170.41126723312632, 
1,20.43,21000,20474.38738354999,20463.566657252195,-1518.587384, ,75.29398985502729, ,170.87041873887944, 
1,20.44,20820,20470.79399,20460.525017124928,-1694.993991, ,75.29398985502729, ,171.12363951248818, 
1,20.45,20916.7,20467.16955591467,20457.483270266173,-1594.669556, ,76.19418324125712, ,172.97398648351722, 
1,20.46,20756.7,20463.59395597836,20454.441419016177,-1751.093956, ,77.09091418, ,171.94970194798245, 
1,20.47,20873.3,20460.06190583773,20451.39946571283,-1630.961906, ,77.09091418, ,174.11691474408798, 
1,20.48,21010,20456.568812354955,20448.357412691716,-1490.768812, ,77.98443956108959, ,173.31099214994993, 
1,20.49,20993.3,20453.110638721027,20445.315262286105,-1504.010639, ,77.98443956108959, ,174.63304383764262, 
1,20.5,20970,20449.683931035666,20442.273016826926,-1523.883931, ,78.87500861819728, ,174.48008482345483, 
1,20.51,20943.3,20446.32865,20439.23068,-1547.228654, , , ,173.37819932159866, 
1,20.52,20850,20442.95604470634,20436.18825006002,-1637.156045, , , ,172.34645340128122, 
1,20.53,20763.3,20439.606670522593,20433.145733402573,-1720.506671, , , ,172.05609550376295, 
1,20.54,21103.3,20436.278403352557,20430.103130992113,-1377.178403, , , ,172.95461832515488, 
1,20.55,21026.7,20432.969352136795,20427.060445147996,-1450.469352, , , ,174.43250843807755, 
1,20.56,20573.3,20429.677830283545,20424.017678187243,-1900.57783, , , ,175.54685984089832, 
1,20.57,20670,20426.402332817815,20420.974832424574,-1800.602333, , , ,174.77614253667463, 
1,20.58,20570,20423.14151084079,20417.93191017239,-1897.341511, , , ,173.74320130583527, 
1,20.59,20450,20419.89415336902,20414.888913740764,-2014.094153, , , ,175.77457153979924, 
1,20.6,20446.7,20416.659172958574,20411.84584543749,-2014.159173, , , ,174.4133022449836, 
1,20.61,20586.7,20413.435587767723,20408.802707568022,-1870.935588, , , ,174.5184803967763, 
1,20.62,20676.7,20410.222511666303,20405.75950243551,-1777.722512, , , ,175.04285189632853, 
1,20.63,20373.3,20407.019142389323,20402.71623234081,-2077.919142, , , ,175.90707774276734, 
1,20.64,20486.7,20403.824752704244,20399.672899582427,-1961.324753, , , ,174.39409393669268, 
1,20.65,20333.3,20400.638682520894,20396.62950645661,-2111.538683, , , ,174.9762841073041, 
1,20.66,20540,20397.460329961872,20393.586055257267,-1901.66033, , , ,175.52777557982097, 
1,20.67,20856.7,20394.28914790553,20390.542548276007,-1581.789148, , , ,175.1285242329187, 
1,20.68,20653.3,20391.124635499746,20387.498987802148,-1782.024635, , , ,176.25748211068944, 
1,20.69,20933.3,20387.966335706937,20384.45537612267,-1498.866336, , , ,176.26684316683045, 
1,20.7,20650,20384.81383006262,20381.41171552228,-1779.01383, , , ,176.68248356868884, 
1,20.71,20326.7,20381.666734007602,20378.36800828338,-2099.166734, , , ,176.9087335322934, 
1,20.72,20560,20378.52469521157,20375.324256686043,-1862.724695, , , ,176.84258536902246, 
1,20.73,20463.3,20375.387389087908,20372.28046300807,-1956.287389, , , ,176.0681686165901, 
