"used","x, 2theta (deg)","obs","calc","bkg","diff","diff/sigma","Axis-limits"
0,10.78,31296.7,0.0,0.0,-2622.26,176.9087335322934," "
0,10.79,31056.7,0.0,0.0,-2622.26,176.22911223745072," "
0,10.8,31440.0,0.0,0.0,-2622.26,177.313282074412," "
0,10.81,31406.7,0.0,0.0,-2622.26,177.2193556020335," "
0,10.82,31643.3,0.0,0.0,-2622.26,177.88563741910139," "
0,10.83,31166.7,0.0,0.0,-2622.26,176.5409300983769," "
0,10.84,31900.0,0.0,0.0,-2622.26,178.60571099491753," "
0,10.85,31540.0,0.0,0.0,-2622.26,177.5950449759227," "
0,10.86,31846.7,0.0,0.0,-2622.26,178.45643726131036," "
0,10.87,32210.0,0.0,0.0,-2622.26,179.47144619688115," "
0,10.88,32110.0,0.0,0.0,-2622.26,179.1926337771729," "
0,10.89,31403.3,0.0,0.0,-2622.26,177.2097627107491," "
0,10.9,31783.3,0.0,0.0,-2622.26,178.27871437723573," "
0,10.91,31260.0,0.0,0.0,-2622.26,176.8049773055046," "
0,10.92,31893.3,0.0,0.0,-2622.26,178.58695361083912," "
0,10.93,31933.3,0.0,0.0,-2622.26,178.69890878234258," "
0,10.94,31410.0,0.0,0.0,-2622.26,177.22866585290313," "
0,10.95,31696.7,0.0,0.0,-2622.26,178.03567058317273," "
0,10.96,31780.0,0.0,0.0,-2622.26,178.26945896591485," "
0,10.97,32080.0,0.0,0.0,-2622.26,179.10890541790488," "
0,10.98,31606.7,0.0,0.0,-2622.26,177.78273256984212," "
0,10.99,31980.0,0.0,0.0,-2622.26,178.8295277631745," "
0,11.0,32043.3,0.0,0.0,-2622.26,179.00642446571575," "
0,11.01,32143.3,0.0,0.0,-2622.26,179.28552646546794," "
0,11.02,31870.0,0.0,0.0,-2622.26,178.52170736355845," "
0,11.03,31480.0,0.0,0.0,-2622.26,177.426040929735," "
0,11.04,32296.7,0.0,0.0,-2622.26,179.71282647601979," "
0,11.05,31790.0,0.0,0.0,-2622.26,178.29750418892576," "
0,11.06,32100.0,0.0,0.0,-2622.26,179.16472867168918," "
0,11.07,32076.7,0.0,0.0,-2622.26,179.09969290872613," "
0,11.08,32033.3,0.0,0.0,-2622.26,178.97849032774857," "
0,11.09,31900.0,0.0,0.0,-2622.26,178.60571099491753," "
0,11.1,32166.7,0.0,0.0,-2622.26,179.35077362531783," "
0,11.11,31833.3,0.0,0.0,-2622.26,178.41888913453081," "
0,11.12,32416.7,0.0,0.0,-2622.26,180.04638291284832," "
0,11.13,31806.7,0.0,0.0,-2622.26,178.34432987902926," "
0,11.14,32196.7,0.0,0.0,-2622.26,179.43438912315554," "
0,11.15,32560.0,0.0,0.0,-2622.26,180.44389709823938," "
0,11.16,32330.0,0.0,0.0,-2622.26,179.8054504179448," "
0,11.17,32490.0,0.0,0.0,-2622.26,180.24982662959764," "
0,11.18,32670.0,0.0,0.0,-2622.26,180.74844397670483," "
0,11.19,32260.0,0.0,0.0,-2622.26,179.61069010501575," "
0,11.2,32356.7,0.0,0.0,-2622.26,179.87968200994797," "
0,11.21,32453.3,0.0,0.0,-2622.26,180.14799471545612," "
0,11.22,31836.7,0.0,0.0,-2622.26,178.42841701926295," "
0,11.23,32626.7,0.0,0.0,-2622.26,180.62862453110802," "
0,11.24,32573.3,0.0,0.0,-2622.26,180.48074689561764," "
0,11.25,32646.7,0.0,0.0,-2622.26,180.683978260387," "
0,11.26,32860.0,0.0,0.0,-2622.26,181.27327436773464," "
0,11.27,32916.7,0.0,0.0,-2622.26,181.42960067199618," "
0,11.28,31963.3,0.0,0.0,-2622.26,178.78282915313764," "
0,11.29,33020.0,0.0,0.0,-2622.26,181.71406109599775," "
0,11.3,32886.7,0.0,0.0,-2622.26,181.346905129368," "
0,11.31,32490.0,0.0,0.0,-2622.26,180.24982662959764," "
0,11.32,32766.7,0.0,0.0,-2622.26,181.01574517151815," "
0,11.33,32763.3,0.0,0.0,-2622.26,181.00635347965," "
0,11.34,33380.0,0.0,0.0,-2622.26,182.7019430657485," "
0,11.35,33093.3,0.0,0.0,-2622.26,181.91563978943648," "
0,11.36,33186.7,0.0,0.0,-2622.26,182.17217131054895," "
0,11.37,32596.7,0.0,0.0,-2622.26,180.54556211660255," "
0,11.38,33043.3,0.0,0.0,-2622.26,181.7781615046208," "
0,11.39,33313.3,0.0,0.0,-2622.26,182.51931404648658," "
0,11.4,32396.7,0.0,0.0,-2622.26,179.99083309991096," "
0,11.41,32716.7,0.0,0.0,-2622.26,180.8775829117583," "
0,11.42,32736.7,0.0,0.0,-2622.26,180.9328604759235," "
0,11.43,33513.3,0.0,0.0,-2622.26,183.06638140303096," "
0,11.44,33283.3,0.0,0.0,-2622.26,182.4371124524832," "
0,11.45,33303.3,0.0,0.0,-2622.26,182.49191762924735," "
0,11.46,33196.7,0.0,0.0,-2622.26,182.19961580640063," "
0,11.47,33423.3,0.0,0.0,-2622.26,182.82040367530098," "
0,11.48,33900.0,0.0,0.0,-2622.26,184.11952639521968," "
0,11.49,33016.7,0.0,0.0,-2622.26,181.70498066921553," "
0,11.5,33763.3,0.0,0.0,-2622.26,183.74792515835384," "
0,11.51,33680.0,0.0,0.0,-2622.26,183.5211159512714," "
0,11.52,33300.0,0.0,0.0,-2622.26,182.4828759089466," "
0,11.53,33873.3,0.0,0.0,-2622.26,184.04700486560492," "
0,11.54,33256.7,0.0,0.0,-2622.26,182.3641960473601," "
0,11.55,33876.7,0.0,0.0,-2622.26,184.05624140463155," "
0,11.56,34036.7,0.0,0.0,-2622.26,184.49037915295204," "
0,11.57,33626.7,0.0,0.0,-2622.26,183.37584355634195," "
0,11.58,33770.0,0.0,0.0,-2622.26,183.76615575235826," "
0,11.59,33526.7,0.0,0.0,-2622.26,183.1029764913722," "
0,11.6,34013.3,0.0,0.0,-2622.26,184.42695030824535," "
0,11.61,33616.7,0.0,0.0,-2622.26,183.34857512399708," "
0,11.62,33906.7,0.0,0.0,-2622.26,184.1377201987686," "
0,11.63,33283.3,0.0,0.0,-2622.26,182.4371124524832," "
0,11.64,33966.7,0.0,0.0,-2622.26,184.30056972239666," "
0,11.65,34163.3,0.0,0.0,-2622.26,184.8331680191626," "
0,11.66,33610.0,0.0,0.0,-2622.26,183.3303030052588," "
0,11.67,33726.7,0.0,0.0,-2622.26,183.64830519228866," "
