"used","x, 2theta (deg)","obs","calc","bkg","diff","Gd1.5Mn0.25Zr2.25O7","tick-pos","diff/sigma","Axis-limits"
1,61.32,15640.0,15057.910100839703,15010.023257948562,-2040.170100839703," "," ",4.654485576145346," "
1,61.33,15686.7,15060.31919887245,15009.976043182145,-1995.8791988724497," "," ",5.0011818044087," "
1,61.34,15483.3,15062.941387478348,15009.929015233238,-2201.9013874783486," "," ",3.3782219978209342," "
1,61.35,15626.7,15065.802173360466,15009.88217211691,-2061.362173360465," "," ",4.486938530299105," "
1,61.36,15706.7,15068.931191031268,15009.835511845637,-1984.4911910312676," "," ",5.088863493126636," "
1,61.37,15650.0,15072.363315729433,15009.78903242929,-2044.6233157294337," "," ",4.617401029728206," "
1,61.38,15800.0,15076.139949297432,15009.742731875176,-1898.3999492974326," "," ",5.75872136060241," "
1,61.39,15483.3,15080.310994191208,15009.69660818805,-2219.270994191209," "," ",3.2386307399212035," "
1,61.4,15993.3,15084.937381378126,15009.650659370123,-1713.8973813781267," "," ",7.182741084385626," "
1,61.41,15630.0,15090.094627924851,15009.604883421103,-2082.3546279248512," "," ",4.3185520635396495," "
1,61.42,16143.3,15095.877489671162,15009.559278338184,-1574.837489671163," "," ",8.243767681305794," "
1,61.43,16073.3,15102.405998431039,15009.51384211609,-1651.3659984310398," "," ",7.658069308785672," "
1,61.44,15593.3,15109.833027283903,15009.468572747071,-2138.793027283904," "," ",3.8716651929096844," "
1,61.45,15683.3,15118.353375656188,15009.423468220944,-2057.3133756561892," "," ",4.511164801556829," "
1,61.46,15836.7,15128.213870112364,15009.378526525094,-1913.7738701123635," "," ",5.6298783082647965," "
1,61.47,16316.7,15139.724162034578,15009.333745644493,-1445.284162034577," "," ",9.214067363335676," "
1,61.48,16203.3,15153.266646729211,15009.28912356174,-1572.226646729212," "," ",8.249001028638624," "
1,61.49,16126.7,15169.304188155033,15009.244658257041,-1664.864188155032," "," ",7.539087256727794," "
1,61.5,16226.7,15188.383540112582,15009.20034770827,-1583.943540112581," "," ",8.151070233132376," "
1,61.51,15660.0,15211.1323490174,15009.156189890955,-2173.3923490174," "," ",3.586926097835109," "
1,61.52,16213.3,15238.247539763403,15009.112182778315,-1647.2075397634035," "," ",7.65759287969847," "
1,61.53,16486.7,15270.472802207601,15009.068324341275,-1406.032802207601," "," ",9.472134220150005," "
1,61.54,17090.0,15308.563715363167,15009.024612548472,-840.8237153631671," "," ",13.62696882929533," "
1,61.55,16696.7,15353.236518721953,15008.981045366289,-1278.7965187219525," "," ",10.397059843909766," "
1,61.56,17593.3,15405.095530293996,15008.937620758874,-434.05553029399744," "," ",16.497352216725393," "
1,61.57,17433.3,15464.525867346943,15008.89433668816,-653.4858673469444," "," ",14.91097674000588," "
1,61.58,17776.7,15531.531435776476,15008.851191113856,-377.0914357764759," "," ",16.839274679926763," "
1,61.59,18140.0,15605.486210313838,15008.808181993505,-87.74621031383867," "," ",18.818110617610106," "
1,61.6,18733.3,15684.77274273149,15008.765307282492,426.26725726850964," "," ",22.273216495032763," "
1,61.61,19460.0,15766.324479179562,15008.72256493403,1071.4155208204375," "," ",26.47813080157918," "
1,61.62,20210.0,15845.214096476178,15008.679952899238,1742.5259035238214," "," ",30.70292765568772," "
1,61.63,20476.7,15914.634078435485,15008.637469127116,1939.8059215645153," "," ",31.880973384097608," "
1,61.64,21003.3,15966.762424216884,15008.595111564562,2414.277575783115," "," ",34.75268073330758," "
1,61.65,21233.3,15994.742105500552,15008.552878156434,2616.2978944994466," "," ",35.950339829085074," "
1,61.66,21980.0,15995.15550720762,15008.510766845524,3362.584492792379," "," ",40.368166677878705," "
1,61.67,21753.3,15969.53799545925,15008.468775572592,3161.502004540749," "," ",39.21460450087963," "
1,61.68,22090.0,15923.836608113685,15008.426902276404,3543.903391886315," "," ",41.4874909427876," "
1,61.69,21500.0,15866.215697111706,15008.385144893718,3011.524302888294," "," ",38.42209004367424," "
1,61.7,21820.0,15804.677185952187,15008.34350135934,3393.062814047813," "," ",40.72223124038541," "
1,61.71,20663.3,15745.610891694316,15008.301969606113,2295.4291083056833," "," ",34.210642377154535," "
1,61.72,19886.7,15693.469731832543,15008.260547564942,1570.970268167457," "," ",29.7349594713769," "
1,61.73,19253.3,15650.759417969834,15008.21923316484,980.2805820301655," "," ",25.963084857949205," "
1,61.74,18863.3,15618.82288188988,15008.178024332916,622.2171181101185," "," ",23.623045134692212," "
1,61.75,18270.0,15597.92561633442,15008.136918994403,49.81438366557995," "," ",19.76875276188057," "
1,61.76,17843.3,15587.491133226184,15008.095915072694,-366.45113322618454," "," ",16.88747467323848," "
1,61.77,17823.3,15586.114373238892,15008.055010489343,-385.0743732388928," "," ",16.757451143392814," "
1,61.78,18023.3,15591.461100656952,15008.01420316409,-190.42110065695306," "," ",18.114136883791836," "
1,61.79,18076.7,15600.162032171951,15007.973491014884,-145.72203217195056," "," ",18.419821414305265," "
1,61.8,18360.0,15607.906271949132,15007.932871957903,129.83372805086765," "," ",20.310793099694862," "
1,61.81,18360.0,15609.987884336108,15007.89234390757,127.75211566389225," "," ",20.295430542062945," "
1,61.82,18716.7,15602.38377760314,15007.851904776579,492.0562223968609," "," ",22.76397334098341," "
1,61.83,18620.0,15582.988633680756,15007.811552475918,414.75136631924397," "," ",22.256485120572147," "
1,61.84,18916.7,15552.262861171092,15007.771284914865,742.1771388289089," "," ",24.46187429830666," "
1,61.85,19316.7,15512.824480725365,15007.731100001041,1181.6155192746355," "," ",27.369056670222463," "
1,61.86,18570.0,15468.293187748115,15007.690995640418,479.4468122518847," "," ",22.761180981558695," "
1,61.87,18363.3,15422.13754494749,15007.650969737328,318.90245505250823," "," ",21.704193305608836," "
1,61.88,17933.3,15377.025084509933,15007.611020194496,-65.98508450993359," "," ",19.08874830066891," "
1,61.89,17190.0,15334.68822001297,15007.57114491306,-766.9482200129696," "," ",14.150733881972645," "
1,61.9,17246.7,15296.077065863874,15007.53134179258,-671.6370658638734," "," ",14.853210007960005," "
1,61.91,16813.3,15261.586454575556,15007.491608731085,-1070.5464545755567," "," ",11.96699391408381," "
1,61.92,16370.0,15231.28366535457,15007.45194362505,-1483.5436653545694," "," ",8.900024677844357," "
1,61.93,16156.7,15204.92439495386,15007.41234436947,-1670.484394953859," "," ",7.48786901503447," "
