used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,Gd3Fe5O12,tick-pos,diff/sigma,Axis-limits
1,20,21433.3,20712.07783692485,20594.222626432464,-1322.977837,29.757411794559605,20.062015604947103,Gd2Zr2O7,166.11231140406178,17
1,20.01,20716.7,20730.144329128423,20591.18782272526,-2057.644329,34.494607968087976,26.643595770723923,-10221,166.1324772583615,83
1,20.02,21006.7,20750.634055884424,20588.152809446547,-1788.134056,49.582010229317724,28.520809699554373,Gd3Fe5O12,166.19265928433782,-26574.6
1,20.03,21006.7,20772.489966969333,20585.11758903726,-1809.989967,58.90265875851278,31.972245915202624,-20442,168.29527622604266,108342.6
1,20.04,20853.3,20793.754043711833,20582.08216393601,-1984.654044,61.800799564847495,33.57784542, ,167.38189866290801, 
1,20.05,21023.3,20811.65221969712,20579.046536579015,-1832.55222,72.73941789961151,35.118339261250114, ,169.27285665457413, 
1,20.06,21030,20823.32462,20576.010709400154,-1837.524615, ,36.60205438966376, ,167.74981371077584, 
1,20.07,21113.3,20827.03065824527,20572.974684830937,-1757.930658, ,39.42495597908772, ,167.58072681546648, 
1,20.08,21106.7,20822.87584,20569.93846530052,-1760.375843, ,40.77434980040228, ,167.86899654194636, 
1,20.09,21120,20812.28657987403,20566.902053235717,-1736.48658, ,44.620162707509394, ,167.49119379836063, 
1,20.1,21116.7,20796.798957054296,20563.86545106096,-1724.298957, ,44.620162707509394, ,166.84333969325837, 
1,20.11,21343.3,20777.40829296651,20560.828661198342,-1478.308293, ,45.84439692707679, ,168.27566669010704, 
1,20.12,21250,20754.87695723611,20557.79168606761,-1549.076957, ,47.04373942221205, ,168.0675459450753, 
1,20.13,21573.3,20730.29600155677,20554.75452808614,-1201.196002, ,49.375352065734944, ,168.35468511449272, 
1,20.14,20823.3,20705.138725376986,20551.717189668976,-1926.038725, ,50.51091181286248, ,168.56245133480942, 
1,20.15,21253.3,20680.841391444592,20548.67967,-1471.741391, ,51.628219038379854, ,169.68588627225307, 
1,20.16,21256.7,20658.418780221433,20545.64198117593,-1445.91878, ,52.72853231255478, ,169.97058569058353, 
1,20.17,21023.3,20638.37311,20542.60411591837,-1659.273114, ,53.81299268340046, ,169.2040188648012, 
1,20.18,21190,20620.80734727837,20539.566079861743,-1475.007347, ,53.81299268340046, ,170.5189139069329, 
1,20.19,20810,20605.583351206842,20536.527875409338,-1839.783351, ,53.81299268340046, ,169.75482320099184, 
1,20.2,21173.3,20592.445694490212,20533.489504962105,-1463.345694, ,54.882638961928365, ,169.15466295671544, 
1,20.21,20730,20581.098769177435,20530.450970918624,-1895.298769, ,58.01180409480407, ,171.38640552855995, 
1,20.22,20920,20571.249305586738,20527.41227567516,-1695.449306, ,58.01180409480405, ,169.10558831688562, 
1,20.23,20536.7,20562.628049587278,20524.373421625613,-2070.12805, ,59.03094791900766, ,170.84115429251815, 
1,20.24,20990,20554.99955848471,20521.334411161548,-1609.199558, ,60.03932561744251, ,171.67789607284917, 
1,20.25,20926.7,20548.165192969438,20518.29524667218,-1665.665193, ,61.037574290248855, ,170.34288949058015, 
1,20.26,20876.7,20541.962136497306,20515.255930544394,-1709.462136, ,62.026287519880874, ,170.0097056052977, 
1,20.27,20870,20536.260090945903,20512.216465162728,-1710.460091, ,63.006019843485475, ,170.30355251726255, 
1,20.28,20976.7,20530.956734204196,20509.17685290938,-1598.456734, ,63.006019843485475, ,170.13729749822642, 
1,20.29,20860,20525.97280119119,20506.137096164206,-1710.172801, ,63.97729067379652, ,169.9902938405602, 
1,20.3,21016.7,20521.247349239202,20503.097197304727,-1548.747349, ,63.97729067379652, ,171.8525530796677, 
1,20.31,21033.3,20516.733579156346,20500.057158706135,-1527.633579, ,65.89637019032085, ,170.27419064555852, 
1,20.32,21050,20512.395358644044,20497.016982741272,-1506.595359, ,66.84507119198858, ,171.1043541234413, 
1,20.33,20330,20508.204507521546,20493.976671780652,-2222.404508, ,68.72284627931778, ,169.4402549573153, 
1,20.34,20796.7,20504.138720831874,20490.93622819245,-1751.638721, ,69.65267759643338, ,170.7629936490925, 
1,20.35,21033.3,20500.18008132223,20487.89565434251,-1511.080081, ,69.65267759643335, ,171.79435380710274, 
1,20.36,21040,20496.31396735654,20484.854952594345,-1500.513967, ,69.65267759643338, ,172.43346542942294, 
1,20.37,20423.3,20492.52827718704,20481.81412530913,-2113.428277, ,70.57694560071062, ,171.74603343308982, 
1,20.38,20253.3,20488.812887606317,20478.77317484572,-2279.712888, ,71.49598536544646, ,171.3280479080994, 
1,20.39,20600,20485.233862963076,20475.732103560622,-1929.433863, ,71.49598536544646, ,171.6682847820179, 
1,20.4,20626.7,20481.634854041462,20472.690913808023,-1899.134854, ,73.31964818068637, ,172.1531295097478, 
1,20.41,20996.7,20478.08405820481,20469.64960793979,-1525.584058, ,73.31964818068637, ,171.20163550620654, 
1,20.42,20880,20474.576096989615,20466.60818830545,-1638.776097, ,74.22487283323345, ,170.41126723312632, 
1,20.43,21000,20471.10631453577,20463.566657252195,-1515.306315, ,75.12607469319174, ,170.87041873887944, 
1,20.44,20820,20467.67067062608,20460.525017124928,-1691.870671, ,75.12607469319174, ,171.12363951248818, 
1,20.45,20916.7,20464.26563557711,20457.483270266173,-1591.765636, ,76.02352704342998, ,172.97398648351722, 
1,20.46,20756.7,20460.92541936373,20454.441419016177,-1748.425419, ,76.91749386675293, ,171.94970194798245, 
1,20.47,20873.3,20457.57281,20451.39946571283,-1628.472815, ,76.91749386675293, ,174.11691474408798, 
1,20.48,21010,20454.24263776422,20448.357412691716,-1488.442638, ,77.80823068020733, ,173.31099214994993, 
1,20.49,20993.3,20450.93276664067,20445.315262286105,-1501.832767, ,77.80823068020733, ,174.63304383764262, 
1,20.5,20970,20447.641359874724,20442.273016826926,-1521.84136, ,78.69598530804413, ,174.48008482345483, 
1,20.51,20943.3,20444.366742859296,20439.23068,-1545.266743, , , ,173.37819932159866, 
1,20.52,20850,20441.10744,20436.18825006002,-1635.307438, , , ,172.34645340128122, 
1,20.53,20763.3,20437.862123054914,20433.145733402573,-1718.762123, , , ,172.05609550376295, 
1,20.54,21103.3,20434.629617988674,20430.103130992113,-1375.529618, , , ,172.95461832515488, 
1,20.55,21026.7,20431.408861968164,20427.060445147996,-1448.908862, , , ,174.43250843807755, 
1,20.56,20573.3,20428.198900581352,20424.017678187243,-1899.098901, , , ,175.54685984089832, 
1,20.57,20670,20424.998874867015,20420.974832424574,-1799.198875, , , ,174.77614253667463, 
1,20.58,20570,20421.808009535358,20417.93191017239,-1896.00801, , , ,173.74320130583527, 
1,20.59,20450,20418.625601833115,20414.888913740764,-2012.825602, , , ,175.77457153979924, 
1,20.6,20446.7,20415.451016242496,20411.84584543749,-2012.951016, , , ,174.4133022449836, 
1,20.61,20586.7,20412.28367,20408.802707568022,-1869.783674, , , ,174.5184803967763, 
1,20.62,20676.7,20409.123050639813,20405.75950243551,-1776.623051, , , ,175.04285189632853, 
1,20.63,20373.3,20405.968666646655,20402.71623234081,-2076.868667, , , ,175.90707774276734, 
1,20.64,20486.7,20402.820084751587,20399.672899582427,-1960.320085, , , ,174.39409393669268, 
