used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,tick-pos,diff/sigma,Axis-limits
1,20.22,20920,20527.41227567516,20527.41227567516,-1651.612276, , ,169.10558831688562, 
1,20.23,20536.7,20524.373421625613,20524.373421625613,-2031.873422, , ,170.84115429251815, 
1,20.24,20990,20521.334411161548,20521.334411161548,-1575.534411, , ,171.67789607284917, 
1,20.25,20926.7,20518.29524667218,20518.29524667218,-1635.795247, , ,170.34288949058015, 
1,20.26,20876.7,20515.255930544394,20515.255930544394,-1682.755931, , ,170.0097056052977, 
1,20.27,20870,20512.216465162728,20512.216465162728,-1686.416465, , ,170.30355251726255, 
1,20.28,20976.7,20509.17685290938,20509.17685290938,-1576.676853, , ,170.13729749822642, 
1,20.29,20860,20506.137096164206,20506.137096164206,-1690.337096, , ,169.9902938405602, 
1,20.3,21016.7,20503.097197304727,20503.097197304727,-1530.597197, , ,171.8525530796677, 
1,20.31,21033.3,20500.057158706135,20500.057158706135,-1510.957159, , ,170.27419064555852, 
1,20.32,21050,20497.016982741272,20497.016982741272,-1491.216983, , ,171.1043541234413, 
1,20.33,20330,20493.976671780652,20493.976671780652,-2208.176672, , ,169.4402549573153, 
1,20.34,20796.7,20490.93622819245,20490.93622819245,-1738.436228, , ,170.7629936490925, 
1,20.35,21033.3,20487.89565434251,20487.89565434251,-1498.795654, , ,171.79435380710274, 
1,20.36,21040,20484.854952594345,20484.854952594345,-1489.054953, , ,172.43346542942294, 
1,20.37,20423.3,20481.81412530913,20481.81412530913,-2102.714125, , ,171.74603343308982, 
1,20.38,20253.3,20478.77317484572,20478.77317484572,-2269.673175, , ,171.3280479080994, 
1,20.39,20600,20475.732103560622,20475.732103560622,-1919.932104, , ,171.6682847820179, 
1,20.4,20626.7,20472.690913808023,20472.690913808023,-1890.190914, , ,172.1531295097478, 
1,20.41,20996.7,20469.64960793979,20469.64960793979,-1517.149608, , ,171.20163550620654, 
1,20.42,20880,20466.60818830545,20466.60818830545,-1630.808188, , ,170.41126723312632, 
1,20.43,21000,20463.566657252195,20463.566657252195,-1507.766657, , ,170.87041873887944, 
1,20.44,20820,20460.525017124928,20460.525017124928,-1684.725017, , ,171.12363951248818, 
