10,27593.3
10.01,27600
10.02,27620
10.03,28323.3
10.04,28016.7
10.05,28653.3
10.06,28140
10.07,28083.3
10.08,28180
10.09,28053.3
10.1,27836.7
10.11,28316.7
10.12,28246.7
10.13,28343.3
10.14,28413.3
10.15,28793.3
10.16,28890
10.17,28630
10.18,29076.7
10.19,28816.7
10.2,28613.3
10.21,29373.3
10.22,28596.7
10.23,29186.7
10.24,29473.3
10.25,29016.7
10.26,28903.3
10.27,29003.3
10.28,28946.7
10.29,28896.7
10.3,29533.3
10.31,28993.3
10.32,29276.7
10.33,28710
10.34,29160
10.35,29513.3
10.36,29733.3
10.37,29496.7
10.38,29353.3
10.39,29470
10.4,29636.7
10.41,29310
10.42,29040
10.43,29196.7
10.44,29283.3
10.45,29920
10.46,29566.7
10.47,30316.7
10.48,30036.7
10.49,30496.7
10.5,30443.3
10.51,30060
10.52,29703.3
10.53,29603.3
10.54,29913.3
10.55,30426.7
10.56,30816.7
10.57,30546.7
10.58,30186.7
10.59,30896.7
10.6,30420
10.61,30456.7
10.62,30640
10.63,30943.3
10.64,30413.3
10.65,30616.7
10.66,30810
10.67,30670
10.68,31066.7
10.69,31070
10.7,31216.7
10.71,31296.7
10.72,31273.3
10.73,31000
10.74,30946.7
10.75,30926.7
10.76,31126.7
10.77,30983.3
10.78,31170
10.79,31410
10.8,31053.3
10.81,30883.3
10.82,30966.7
10.83,30810
10.84,30933.3
10.85,30953.3
10.86,30830
10.87,31136.7
10.88,31090
10.89,31183.3
10.9,31480
10.91,31056.7
10.92,31593.3
10.93,31703.3
10.94,31470
10.95,31130
10.96,31843.3
10.97,31100
10.98,31486.7
10.99,31720
11,31756.7
11.01,31143.3
11.02,31643.3
11.03,31233.3
11.04,31523.3
11.05,32123.3
11.06,31530
11.07,31893.3
11.08,31700
11.09,31590
11.1,32166.7
11.11,32333.3
11.12,32060
11.13,31600
11.14,32073.3
11.15,32040
11.16,31646.7
11.17,31973.3
11.18,32090
11.19,32010
11.2,31810
11.21,32193.3
11.22,31570
