used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,Gd3Fe5O12,tick-pos,diff/sigma,Axis-limits
1,20.44,20820,20468.644856301464,20460.525017124928,-1692.844856, ,75.22664762185155, ,171.12363951248818, 
1,20.45,20916.7,20465.16272058439,20457.483270266173,-1592.662721, ,76.12574095635497, ,172.97398648351722, 
1,20.46,20756.7,20461.71598533129,20454.441419016177,-1749.215985, ,77.02136254263645, ,171.94970194798245, 
1,20.47,20873.3,20458.300964745806,20451.39946571283,-1629.200965, ,77.02136254263645, ,174.11691474408798, 
1,20.48,21010,20454.914478186074,20448.357412691716,-1489.114478, ,77.91376872058963, ,173.31099214994993, 
1,20.49,20993.3,20451.590906838068,20445.315262286105,-1502.490907, ,77.91376872058963, ,174.63304383764262, 
1,20.5,20970,20448.253317748873,20442.273016826926,-1522.453318, ,78.80320815391637, ,174.48008482345483, 
1,20.51,20943.3,20444.936714796982,20439.23068,-1545.836715, , , ,173.37819932159866, 
1,20.52,20850,20441.639156608668,20436.18825006002,-1635.839157, , , ,172.34645340128122, 
1,20.53,20763.3,20438.358917189293,20433.145733402573,-1719.258917, , , ,172.05609550376295, 
1,20.54,21103.3,20435.094461965917,20430.103130992113,-1375.994462, , , ,172.95461832515488, 
1,20.55,21026.7,20431.84442131171,20427.060445147996,-1449.344421, , , ,174.43250843807755, 
1,20.56,20573.3,20428.607570477776,20424.017678187243,-1899.50757, , , ,175.54685984089832, 
1,20.57,20670,20425.382809960895,20420.974832424574,-1799.58281, , , ,174.77614253667463, 
1,20.58,20570,20422.169153694347,20417.93191017239,-1896.369154, , , ,173.74320130583527, 
1,20.59,20450,20418.965712399582,20414.888913740764,-2013.165712, , , ,175.77457153979924, 
1,20.6,20446.7,20415.771684030882,20411.84584543749,-2013.271684, , , ,174.4133022449836, 
1,20.61,20586.7,20412.586343191775,20408.802707568022,-1870.086343, , , ,174.5184803967763, 
1,20.62,20676.7,20409.40903292451,20405.75950243551,-1776.909033, , , ,175.04285189632853, 
1,20.63,20373.3,20406.23915764692,20402.71623234081,-2077.139158, , , ,175.90707774276734, 
1,20.64,20486.7,20403.07617446501,20399.672899582427,-1960.576174, , , ,174.39409393669268, 
1,20.65,20333.3,20399.919590326903,20396.62950645661,-2110.81959, , , ,174.9762841073041, 
1,20.66,20540,20396.768954255527,20393.586055257267,-1900.968954, , , ,175.52777557982097, 
1,20.67,20856.7,20393.623855556816,20390.542548276007,-1581.123856, , , ,175.1285242329187, 
1,20.68,20653.3,20390.48391738239,20387.498987802148,-1781.383917, , , ,176.25748211068944, 
1,20.69,20933.3,20387.348793902027,20384.45537612267,-1498.248794, , , ,176.26684316683045, 
1,20.7,20650,20384.218169756106,20381.41171552228,-1778.41817, , , ,176.68248356868884, 
1,20.71,20326.7,20381.09175351024,20378.36800828338,-2098.591754, , , ,176.9087335322934, 
1,20.72,20560,20377.96927720822,20375.324256686043,-1862.169277, , , ,176.84258536902246, 
1,20.73,20463.3,20374.850494420014,20372.28046300807,-1955.750494, , , ,176.0681686165901, 
1,20.74,20526.7,20371.735177347182,20369.236629524945,-1889.235177, , , ,175.91674167059824, 
1,20.75,20666.7,20368.62311596606,20366.192758509853,-1746.123116, , , ,175.85988741040407, 
